key	en_US	ja_JP
ALIAS_IS_USED	Alias "%#1s" is already used. Use different alias or Dispose existing one.	エイリアス "%#1s" は使用されています。違う名前を使うか、既存のものを削除してください。
ASSERTION_VIOLATED	Assertion violated: %#1s (%#2s)	アサーション違反です: %#1s (%#2s)
BYE	See you…	さようなら
CLEAR_ALL_MACRO	Clearing all macros	マクロ全削除
CONFIGURING_LOGGER	Configuring logger (Conf file: %#1s, Conf Key: %#2s)	ロガーを設定します（設定ファイル: %#1s, 設定キー: %#2s）
CONV_ERR	Conversion error occured in %#1s record(s). Check dataset "%#2s"	%#1s 行のレコードで変換エラーが発生しました。データセット "%#2s" を確認してください。
CONV_ERR_CHAR	Character variable is truncated. "%#1s" vs. "%#2s"	文字列型変数が切り捨てられました。"%#1s" vs. "%#2s"
CONV_ERR_NUM	Number variable is not converted. Org: "%#1s"	数値型変数の変換に失敗しています。元データ: "%#1s"
CONV_ERROR	Conversion error(s) occured. Check error table	データ変換エラーが発生しました。エラーテーブルを確認してください
CRITICAL_ERROR	Critical Error !!!!	再起不能エラー!!!!
DATASET_EMPTY	Dataset "%#1s" is empty.	データセット "%#1s" が空です。
DATASET_NOT_FOUND	Dataset "%#1s" not found.	データセット "%#1s" が見つかりません。
DAY_FRI_LONG	Friday	金曜日
DAY_FRI_SHORT	Fri	金
DAY_MON_LONG	Monday	月曜日
DAY_MON_SHORT	Mon	月
DAY_SAT_LONG	Saturday	土曜日
DAY_SAT_SHORT	Sat	土
DAY_SUN_LONG	Sunday	日曜日
DAY_SUN_SHORT	Sun	日
DAY_THU_LONG	Thursday	木曜日
DAY_THU_SHORT	Thu	木
DAY_TUE_LONG	Tuesday	火曜日
DAY_TUE_SHORT	Tue	火
DAY_WED_LONG	Wedesday	水曜日
DAY_WED_SHORT	Wed	水
DEFINE_GMV	%#1s global macro variable(s) defined by %#2s	%#1s 個のグローバルマクロ変数が %#2s から定義されました
DEFINE_MSG_BY_TEXT	Defining Messages(prefix = "%#2s") by Text file "%#1s"	テキストファイル "%#1s" によってメッセージを定義します（Prefix = "%#2s"）
DIR_ALREADY_EXISTS	Directory "%#1s" already exists	ディレクトリ "%#1s" は既に存在します
DIR_CREATED	Directory "%#1s" created successfully	ディレクトリ "%#1s" の作成に成功しました
DIR_NOT_FOUND	Directory "%#1s" not found.	ディレクトリ "%#1s" が見つかりません 
DISPOSE_ALIAS	Disposing alias (type: %#1s name: %#2s suppl: %#3s)	エイリアス破棄 (type: %#1s name: %#2s suppl: %#3s)
EMERGENCY_STOP	!!! Emergency stop !!! Emergency stop !!! Emergency stop !!!	!!! 緊急停止 !!! 緊急停止 !!! 緊急停止 !!!
ERROR_OCCURED	Error(s) occured.	エラーが発生しました。
EXCEL_SHEET_NOT_FOUND	Excel sheet "%#2s" not found in "%#1s"	エクセルシート "%#2s" が、ファイル "%#1s" に含まれていません
EXEC_MODE_CHANGED	Execution mode changed into %#1s.	実行モードが %#1s に変更されました。
FAIL_CREATE_DIR	Fail to create directory "%#1s"	ディレクトリ "%#1s" の作成に失敗しました
FAIL_DELETE_DIR	Fail to delete directory "%#1s"	ディレクトリ "%#1s" の削除に失敗しました
